Token,FrequencyEmma,855
Jane,301
Austen,1
1816,1
VOLUME,3
CHAPTER,55
Woodhouse,308
handsome,37
clever,27
rich,14
comfortable,34
home,128
happy,120
disposition,24
seemed,141
unite,3
best,83
blessings,6
existence,6
lived,25
nearly,14
years,56
world,80
little,354
distress,19
vex,1
She,562
youngest,4
two,171
daughters,7
affectionate,9
indulgent,2
father,199
consequence,26
sister,32
marriage,34
mistress,11
house,92
early,40
period,18
Her,88
mother,68
died,4
long,142
ago,31
indistinct,1
remembrance,8
caresses,1
place,87
supplied,5
excellent,33
woman,127
governess,8
fallen,7
short,67
affection,49
Sixteen,2
Miss,592
Taylor,47
family,76
less,68
friend,175
fond,39
particularly,46
Between,2
intimacy,20
sisters,12
Even,10
ceased,6
hold,14
nominal,1
office,7
mildness,1
temper,35
hardly,71
allowed,40
impose,1
restraint,3
shadow,2
authority,6
passed,54
away,137
living,17
together,80
mutually,3
attached,25
liked,16
highly,24
esteeming,1
judgment,28
directed,6
chiefly,7
The,357
real,41
evils,10
indeed,175
situation,64
power,40
rather,145
much,476
way,152
think,380
well,292
disadvantages,1
threatened,4
alloy,3
many,133
enjoyments,3
danger,30
however,113
present,87
unperceived,2
means,48
rank,9
misfortunes,1
Sorrow,1
came,119
gentle,16
sorrow,3
shape,5
disagreeable,20
married,44
It,400
loss,23
first,205
brought,54
grief,5
beloved,9
sat,37
mournful,1
thought,225
continuance,2
wedding,8
gone,78
left,68
dine,15
prospect,13
third,4
cheer,4
evening,93
composed,6
sleep,2
dinner,41
usual,50
sit,38
lost,19
event,23
every,398
promise,21
happiness,75
Weston,429
man,230
unexceptionable,7
character,42
easy,28
fortune,36
suitable,4
age,22
pleasant,38
manners,52
satisfaction,27
considering,17
generous,4
friendship,26
always,235
wished,47
promoted,4
match,26
black,5
morning,107
work,19
want,89
would,813
felt,111
hour,76
day,158
recalled,2
past,20
kindness,38
sixteen,7
taught,7
played,8
five,37
old,83
devoted,5
powers,14
attach,5
amuse,8
health,34
nursed,3
various,6
illnesses,3
childhood,2
A,123
large,33
debt,1
gratitude,29
owing,3
intercourse,12
last,119
seven,5
equal,56
footing,3
perfect,33
unreserve,6
soon,220
followed,29
Isabella,69
yet,106
dearer,5
tenderer,1
recollection,8
companion,27
possessed,3
intelligent,4
useful,21
knowing,26
ways,16
interested,15
concerns,9
peculiarly,10
pleasure,113
scheme,23
one,408
could,824
speak,98
arose,4
never,347
find,74
fault,20
How,108
bear,51
change,61
true,58
going,118
half,98
mile,11
aware,26
great,262
must,563
difference,30
advantages,12
natural,50
domestic,7
suffering,16
intellectual,3
solitude,3
dearly,2
loved,27
He,441
meet,32
conversation,42
rational,18
playful,2
evil,32
actual,3
disparity,7
ages,2
increased,12
constitution,7
habits,12
valetudinarian,1
life,76
without,211
activity,4
mind,126
body,192
older,8
though,169
everywhere,2
friendliness,3
heart,65
amiable,34
talents,8
recommended,9
time,268
comparatively,2
removed,10
matrimony,7
settled,39
London,45
miles,17
beyond,52
daily,10
reach,7
October,4
November,5
struggled,2
Hartfield,160
Christmas,11
next,63
visit,85
husband,34
children,56
fill,2
give,157
society,47
Highbury,124
populous,2
village,2
almost,87
amounting,1
town,23
spite,24
separate,11
lawn,4
shrubberies,2
name,54
really,153
belong,15
afforded,8
equals,1
Woodhouses,4
All,10
looked,91
acquaintance,63
universally,4
civil,13
among,51
accepted,10
lieu,1
even,122
melancholy,12
sigh,19
wish,133
impossible,37
things,60
till,95
awoke,1
made,199
necessary,36
cheerful,28
His,57
spirits,64
required,14
support,8
nervous,11
easily,14
depressed,6
used,49
hating,2
part,64
kind,76
Matrimony,1
origin,4
reconciled,8
daughter,59
marrying,26
ever,189
compassion,13
entirely,39
obliged,76
selfishness,4
able,71
suppose,80
people,92
feel,95
differently,11
disposed,20
done,140
sad,25
thing,394
deal,92
happier,10
spent,21
rest,49
smiled,16
chatted,1
cheerfully,8
keep,32
thoughts,37
tea,23
say,308
exactly,51
said,483
Poor,30
What,102
pity,26
agree,15
papa,29
know,335
thoroughly,19
deserves,6
good,297
wife,67
live,17
us,143
odd,25
humours,2
might,321
But,293
advantage,27
This,108
three,62
times,28
And,224
dear,217
often,90
shall,212
see,220
coming,87
We,89
meeting,39
begin,30
go,127
pay,25
My,108
get,67
far,70
Randalls,88
distance,25
walk,52
No,125
nobody,53
walking,45
carriage,65
sure,201
James,19
like,196
put,61
horses,23
poor,106
paying,11
They,148
stable,2
You,303
already,44
talked,66
night,39
may,213
housemaid,1
doubt,98
whether,61
take,116
anywhere,14
else,79
That,76
got,36
Hannah,2
Nobody,19
mentioned,26
glad,49
lucky,10
slighted,6
upon,133
account,55
make,151
servant,6
girl,46
opinion,69
Whenever,6
curtseys,1
asks,3
pretty,63
manner,75
needlework,1
observe,20
turns,9
lock,1
door,44
right,88
bangs,1
comfort,64
somebody,11
goes,6
hearing,32
tell,73
spared,7
exertions,6
maintain,4
flow,6
ideas,16
hoped,43
help,39
backgammon,1
tolerably,15
attacked,2
regrets,6
placed,15
visitor,9
immediately,68
afterwards,41
walked,52
unnecessary,8
Knightley,373
sensible,25
intimate,10
connected,11
elder,4
brother,51
frequent,8
welcome,16
directly,50
mutual,5
connexions,10
returned,38
late,26
days,49
absence,14
Brunswick,11
Square,10
circumstance,34
animated,5
inquiries,10
answered,22
satisfactorily,2
When,51
gratefully,4
observed,21
come,158
call,41
afraid,65
shocking,5
Not,39
sir,62
beautiful,23
moonlight,2
mild,4
draw,10
back,65
fire,16
found,92
damp,6
dirty,5
catch,14
cold,54
Dirty,1
Look,5
shoes,4
speck,1
Well,86
quite,269
surprising,2
vast,6
rain,21
rained,1
dreadfully,8
hard,12
breakfast,12
wanted,74
By,13
bye,9
joy,18
Being,2
sort,111
feeling,56
hurry,24
congratulations,5
hope,142
went,46
behave,3
Who,13
cried,79
Ah,46
business,54
please,35
possibly,17
regard,43
comes,24
question,39
dependence,11
independence,11
At,34
rate,12
better,163
Especially,1
fanciful,3
troublesome,9
creature,39
playfully,2
head,37
certainly,90
believe,101
sometimes,37
dearest,20
mean,57
horrible,5
idea,99
Oh,185
meant,43
loves,9
joke,6
another,104
fact,23
faults,11
told,78
agreeable,50
knew,88
suspect,21
knows,30
flatter,5
reflection,18
persons,9
chances,5
gainer,1
willing,13
let,64
pass,30
hear,99
behaved,9
charmingly,4
Every,37
punctual,1
looks,28
tear,4
face,32
seen,73
apart,3
Dear,23
bears,2
sorry,60
lose,19
miss,7
thinks,23
turned,29
divided,4
tears,9
smiles,14
acceptable,8
important,18
secure,9
provision,3
therefore,62
allow,47
pain,31
happily,15
forgotten,19
matter,30
considerable,17
four,22
proved,16
marry,63
shook,8
fondly,4
replied,78
matches,6
foretell,2
whatever,16
Pray,15
none,27
greatest,29
amusement,13
success,10
widower,1
perfectly,64
constantly,8
occupied,16
either,61
friends,82
wherever,7
need,42
spend,18
single,18
year,27
alone,26
Some,14
deathbed,1
others,59
son,42
uncle,21
letting,3
solemn,5
nonsense,15
subject,95
believed,46
Ever,4
since,63
met,38
Broadway,1
Lane,6
began,64
drizzle,1
darted,3
gallantry,12
borrowed,2
umbrellas,2
Farmer,1
Mitchell,1
planned,2
blessed,6
instance,9
leave,52
understand,67
Success,1
supposes,1
endeavour,14
Your,27
properly,10
delicately,1
endeavouring,3
bring,38
worthy,18
employment,10
young,190
lady,71
imagine,53
making,50
planning,3
saying,51
idle,4
talk,60
Where,16
merit,13
proud,8
guess,24
known,56
triumph,6
cleverer,3
depend,16
merely,29
luck,9
There,129
talent,9
word,92
quarrel,11
claim,12
drawn,15
pictures,2
something,105
If,110
visits,14
given,77
encouragements,1
smoothed,2
matters,10
enough,128
comprehend,15
straightforward,3
unaffected,4
safely,19
manage,5
likely,45
harm,13
interference,7
rejoined,2
understanding,25
pray,11
silly,12
break,12
circle,17
grievously,1
Only,14
Elton,378
look,114
whole,73
fitted,1
comfortably,11
shame,9
longer,58
joining,2
hands,23
service,21
shew,28
attention,59
ask,43
dare,59
With,30
laughing,16
Invite,2
fish,1
chicken,2
chuse,23
Depend,10
six,9
care,50
II,4
native,5
born,6
respectable,20
generations,2
rising,6
gentility,6
property,6
received,36
education,16
succeeding,5
small,29
become,12
indisposed,3
homely,1
pursuits,2
brothers,4
engaged,35
satisfied,49
active,7
social,6
entering,8
militia,2
county,2
embodied,1
Captain,3
general,64
favourite,23
military,1
introduced,8
Churchill,213
Yorkshire,8
fell,10
love,117
surprized,31
except,31
full,44
pride,18
importance,12
connexion,20
offend,3
command,16
bore,7
proportion,4
dissuaded,1
took,47
infinite,3
mortification,11
threw,2
due,23
decorum,2
unsuitable,3
produce,10
ought,93
whose,39
warm,28
sweet,20
return,56
goodness,7
spirit,26
resolution,31
pursue,1
refrain,5
unreasonable,9
anger,7
missing,3
luxuries,1
former,13
income,9
still,109
nothing,233
comparison,10
Enscombe,36
cease,7
considered,19
especially,24
Churchills,15
amazing,4
worst,19
bargain,2
poorer,1
child,38
From,11
expense,7
relieved,5
boy,12
additional,4
softening,2
lingering,1
illness,9
reconciliation,2
kindred,1
offered,8
charge,18
Frank,207
decease,2
scruples,10
reluctance,3
supposed,35
overcome,8
considerations,2
wealth,7
seek,6
improve,7
complete,20
became,23
desirable,18
quitted,9
trade,4
established,5
favourable,13
opening,15
concern,17
leisure,13
occupation,4
pleasures,9
eighteen,4
twenty,8
realised,2
competence,1
purchase,6
estate,3
adjoining,6
longed,6
portionless,1
according,4
wishes,20
friendly,18
begun,12
influence,24
schemes,7
tyrannic,1
youth,11
shaken,6
determination,5
settling,4
sale,2
forward,35
steadily,5
objects,7
view,27
accomplished,11
bought,3
obtained,5
beginning,40
new,36
probability,12
greater,29
unhappy,19
secured,10
second,29
delightful,39
truly,12
pleasantest,3
proof,22
choose,1
chosen,15
excite,3
choice,9
tacitly,2
heir,2
avowed,1
adoption,1
assume,1
unlikely,4
assistance,14
apprehension,7
aunt,55
capricious,1
governed,2
nature,35
caprice,3
strong,44
affect,5
deservedly,2
saw,108
report,10
fine,41
sufficiently,9
belonging,4
merits,7
prospects,8
common,34
boasts,1
lively,11
curiosity,27
prevailed,6
compliment,31
achieved,2
Now,36
generally,24
proposed,14
proper,42
dissentient,1
voice,47
Perry,79
drank,2
Bates,145
strengthened,4
understood,23
written,23
occasion,27
For,26
included,5
mention,19
letter,107
heard,120
says,31
prized,1
course,61
formed,12
pleasing,22
irresistible,4
sense,56
addition,10
source,7
expression,9
congratulation,1
fortunate,26
regret,26
partial,7
separation,4
cooled,2
ill,40
missed,8
losing,5
ennui,1
companionableness,1
feeble,1
girls,13
energy,3
difficulties,17
privations,4
convenient,5
solitary,3
female,7
circumstances,30
approaching,7
season,6
hindrance,1
spending,5
evenings,5
week,29
altogether,22
hours,25
moments,12
enjoyment,22
apparent,10
taken,58
surprize,36
centre,3
attended,9
giving,46
stay,43
recovering,4
likelihood,2
ceasing,1
weeks,21
alleviation,2
compliments,13
neighbours,13
teased,1
sorrowful,5
eat,12
stomach,2
different,41
unwholesome,5
regarded,4
unfit,4
earnestly,12
tried,26
dissuade,3
vain,24
prevent,17
eating,7
pains,10
consulting,4
apothecary,1
gentlemanlike,5
comforts,8
applied,3
acknowledge,14
bias,1
inclination,21
disagree,4
perhaps,80
unless,10
moderately,4
confirmation,3
newly,1
pair,7
cake,3
eaten,3
benevolent,2
nerves,6
strange,14
rumour,2
Perrys,3
slice,3
III,4
united,10
causes,4
residence,4
measure,7
families,11
horror,7
terms,9
Fortunately,2
including,3
parish,9
Donwell,49
Abbey,24
seat,11
comprehended,2
unfrequently,1
persuasion,11
parties,21
preferred,10
fancied,9
unequal,7
company,34
scarcely,21
Real,1
Westons,8
liking,6
privilege,5
exchanging,1
vacant,2
blank,4
elegancies,3
lovely,11
thrown,18
After,21
set,63
Goddard,53
ladies,42
invitation,21
fetched,2
carried,5
hardship,3
Had,18
grievance,2
widow,3
vicar,2
quadrille,1
respect,41
harmless,3
untoward,1
enjoyed,7
uncommon,4
degree,54
popularity,3
neither,32
stood,15
predicament,1
public,13
favour,25
superiority,10
atonement,2
frighten,1
hate,4
outward,5
boasted,4
beauty,29
cleverness,1
distinction,8
middle,10
failing,2
possible,84
named,9
universal,1
contented,6
worked,2
wonders,3
quicksighted,1
surrounded,4
simplicity,10
cheerfulness,6
grateful,15
recommendation,7
mine,23
felicity,10
talker,6
suited,8
trivial,3
communications,5
gossip,1
School,1
seminary,1
establishment,7
professed,6
sentences,3
refined,3
combine,1
liberal,9
acquirements,2
elegant,22
morality,1
principles,6
systems,1
enormous,1
screwed,1
vanity,12
honest,5
reasonable,20
quantity,4
accomplishments,1
sold,3
price,2
sent,33
scramble,2
prodigies,1
school,10
high,18
repute,1
reckoned,3
healthy,3
spot,7
ample,6
garden,11
gave,54
plenty,5
wholesome,4
food,3
run,17
summer,21
winter,13
dressed,8
chilblains,1
wonder,49
train,4
couple,22
church,6
plain,22
motherly,2
entitled,3
occasional,3
holiday,2
formerly,4
owed,5
particular,40
neat,6
parlour,7
hung,3
round,39
whenever,22
win,1
sixpences,1
fireside,4
These,18
frequently,8
collect,3
sake,25
concerned,15
remedy,1
delighted,29
pleased,46
contriving,2
quiet,25
prosings,1
women,19
fearfully,2
anticipated,6
As,49
looking,62
close,18
note,23
requesting,1
respectful,2
Smith,88
request,4
seventeen,3
sight,25
interest,46
gracious,3
dreaded,2
fair,29
mansion,1
Harriet,496
Somebody,5
several,8
lately,20
raised,6
condition,6
scholar,1
history,17
visible,2
acquired,3
country,21
happened,27
admired,16
plump,1
bloom,4
blue,4
eyes,50
light,13
hair,14
regular,17
features,7
sweetness,7
end,40
person,67
determined,36
continue,11
struck,24
remarkably,11
engaging,7
inconveniently,1
shy,1
unwilling,7
pushing,2
shewing,9
becoming,12
deference,2
seeming,10
pleasantly,8
admitted,13
artlessly,1
impressed,3
appearance,30
superior,57
style,27
deserve,20
encouragement,19
Encouragement,2
Those,8
soft,8
graces,2
wasted,1
inferior,17
unworthy,6
parted,10
Martin,85
renting,1
farm,3
residing,2
creditably,1
coarse,3
unpolished,1
intimates,2
knowledge,26
elegance,15
notice,27
detach,1
bad,55
introduce,8
form,18
opinions,9
interesting,30
undertaking,2
busy,18
admiring,3
talking,52
listening,7
forming,10
flew,2
unusual,5
closed,11
watch,10
ready,65
moved,7
forwards,2
alacrity,3
impulse,1
indifferent,15
credit,18
attentively,3
honours,1
meal,3
recommend,20
minced,1
scalloped,1
oysters,1
urgency,2
guests,7
Upon,26
occasions,7
feelings,101
warfare,2
cloth,1
laid,11
fashion,5
conviction,15
suppers,2
hospitality,3
welcomed,4
visitors,5
grieve,3
Such,49
basin,4
thin,6
gruel,9
thorough,12
constrain,1
clearing,2
nicer,1
propose,5
venturing,3
eggs,2
An,12
egg,3
boiled,5
Serle,3
understands,3
boiling,1
hurt,8
bit,5
tart,1
Ours,1
preserves,1
advise,11
custard,1
glass,1
wine,6
tumbler,1
water,6
satisfactory,6
sending,7
intentions,9
personage,1
introduction,8
panic,2
humble,11
gratified,14
affability,1
treated,5
actually,27
IV,3
Quick,1
decided,27
inviting,4
encouraging,9
telling,22
foreseen,6
In,70
shrubbery,4
divisions,3
ground,14
sufficed,2
varied,4
exercise,17
confined,11
ventured,6
summon,2
valuable,9
privileges,1
approved,6
confirmed,5
designs,2
docile,1
totally,15
free,5
conceit,6
desiring,2
guided,6
attachment,48
appreciating,1
shewed,17
taste,34
strength,13
expected,39
Altogether,1
convinced,37
Two,7
granted,4
sentiment,10
distinct,10
independent,9
object,39
basis,2
esteem,3
attempts,6
usefulness,1
parents,4
questions,12
fancy,37
discovered,4
truth,37
penetration,5
chose,9
farther,43
teachers,3
affairs,5
naturally,14
Martins,13
Farm,5
months,30
describe,8
encouraged,8
talkativeness,1
amused,17
picture,21
beings,3
enjoying,4
youthful,2
exultation,4
parlours,2
upper,3
maid,11
eight,5
cows,1
Alderneys,1
Welch,2
cow,3
called,44
drink,3
dozen,4
thinking,60
immediate,14
cause,16
wrong,38
fancying,12
appeared,48
narrative,1
approbation,21
case,31
sink,9
forever,1
inspiriting,1
notion,5
number,9
meaning,32
led,25
evidently,13
dislike,16
share,15
walks,4
merry,2
games,1
dwelt,4
obliging,32
order,14
walnuts,2
shepherd,1
purpose,23
sing,4
singing,4
flock,1
bid,4
wool,1
spoke,42
blush,22
Mrs,31
send,23
goose,2
finest,5
Sunday,2
asked,38
Nash,13
Prince,1
Richardson,1
sup,1
information,21
line,16
read,50
yes,37
reads,2
Agricultural,1
Reports,1
books,5
lay,11
window,11
seats,1
cards,5
aloud,8
Elegant,3
Extracts,2
entertaining,5
Vicar,1
Wakefield,1
Romance,2
Forest,2
Children,1
One,39
ride,4
Kingston,8
fifty,3
farmer,7
horseback,5
foot,7
raise,11
yeomanry,1
precisely,7
lower,5
creditable,1
To,56
8th,1
June,7
birthday,1
23rd,1
fortnight,19
settle,12
seem,37
probably,36
repent,6
Six,2
hence,6
money,10
thirty,3
men,29
afford,6
beforehand,4
Whatever,4
afloat,1
employed,9
stock,3
forth,5
diligence,1
indoors,1
talks,4
taking,26
scrape,2
acquainted,33
objected,2
follow,13
fit,13
misfortune,5
birth,7
careful,4
associates,2
gentleman,31
station,3
within,29
degrading,3
Yes,87
force,6
firmly,2
permanently,2
advisable,2
marries,4
mere,16
However,17
Elizabeth,8
educated,3
ignorant,9
vulgar,8
watched,8
fluctuations,1
speech,18
alarming,5
symptoms,7
admirer,5
trusted,9
serious,30
difficulty,30
side,69
oppose,5
arrangement,16
road,18
respectfully,1
unfeigned,1
opportunity,18
survey,1
yards,5
quick,22
eye,28
Robert,32
contrasted,1
gentlemen,23
gained,5
insensible,4
voluntarily,5
noticed,1
gentleness,3
admiration,24
remained,17
minutes,53
kept,22
waiting,16
running,4
smiling,31
flutter,7
compose,5
happening,4
chance,19
towards,65
forgot,3
So,50
happen,12
Do,69
undoubtedly,13
compared,11
entire,8
expect,20
clownish,2
air,45
imagined,20
confess,12
nearer,7
mortified,8
genteel,2
repeatedly,4
specimens,2
bred,2
seeing,51
perceiving,3
wondering,6
Were,9
awkward,12
abrupt,3
uncouthness,1
wholly,11
unmodulated,1
Certainly,11
compare,4
hundred,14
plainly,6
Compare,2
carrying,9
speaking,46
silent,25
forty,8
Which,4
makes,19
grows,2
glaring,2
disgusting,2
loudness,1
coarseness,1
awkwardness,5
becomes,5
passable,2
detestable,1
later,5
solemnly,1
guessing,5
completely,26
gross,1
inattentive,1
appearances,4
profit,2
Will,11
engrosses,1
forgetting,7
inquire,9
book,9
market,1
thriving,1
thrive,1
illiterate,2
disturb,3
remember,45
answer,64
spoken,30
grave,8
displeasure,5
held,9
pattern,5
openness,3
quickness,9
bluntness,1
likes,5
copied,3
Neither,6
downright,5
commanding,1
suits,3
figure,9
copying,1
sufferable,1
On,15
contrary,7
model,4
seems,24
grown,7
design,4
ingratiating,1
softness,3
strikes,3
softer,3
Did,17
repeated,17
personal,7
praise,31
justice,24
blushed,7
fixed,20
driving,4
palpably,3
probable,6
feared,11
predict,2
equalled,2
date,2
plan,25
entered,24
brain,7
expediency,3
low,17
fairly,9
doubtful,9
sufficient,9
vicarage,5
deficiency,4
meetings,6
foundation,3
weight,4
efficacy,1
fastidious,1
feature,5
dispense,2
riding,1
conquered,2
V,3
supplying,3
quarrels,1
Perhaps,18
fight,1
battle,1
yesterday,27
agreeing,4
associate,3
judge,24
value,15
feels,10
sex,5
objection,13
hand,52
wants,10
informed,2
inducement,4
twelve,7
lists,2
regularly,3
neatly,1
arranged,12
alphabetically,1
rule,10
list,2
drew,6
fourteen,1
preserved,4
expecting,13
steady,11
reading,15
submit,3
requiring,2
industry,1
patience,11
subjection,2
failed,9
stimulate,1
affirm,1
persuade,14
omitting,1
refresh,3
memory,10
feelingly,3
moment,118
added,37
charm,10
senses,4
spoiled,4
cleverest,1
ten,28
puzzled,3
assured,15
slow,6
diffident,2
cope,1
inherits,1
dependent,3
preparing,5
receiving,14
material,11
matrimonial,2
point,51
submitting,2
Thank,16
Why,22
borne,11
despair,5
grow,10
cross,10
wantonness,1
plague,2
vexation,6
quarter,23
possibilities,1
pretend,10
genius,2
foretelling,1
flatterer,2
worse,25
undesigned,1
ignorance,4
hourly,1
flattery,4
learn,5
presenting,2
