,text
0,Burlington County is trying to boost its COVID-19 vaccination rate as the holidays and colder weather approach by r… https://t.co/VMz5n0B39p
1,"@Canadam86133441 @Virg21Nicholls https://t.co/cO1yOrwUQH
https://t.co/KKsQPv52SH
Iceland: most vax per pop, 3rd low… https://t.co/qx0XuEJFfa"
2,Why is Africa’s Covid-19 vaccination rate so low? https://t.co/FvKEBcmUn3 via @qzafrica
3,"@Caro2Ma @roonbot2 @Nieuwsuur valt tegen hoor. nl op plaats 19 in de EU:

https://t.co/c0yXwlM7Pn https://t.co/kEOLz1y6qz"
4,Burlington County is trying to boost its COVID-19 vaccination rate as the holidays and colder weather approach by r… https://t.co/mPTRBFgOTj
5,The COVID-19 vaccination rate among workers in Arizona nursing homes remains lower than that of most other states.… https://t.co/Tg1AUkNwLw
6,RT @qzafrica: Why is Africa’s Covid-19 vaccination rate so low? https://t.co/HOtmCfSugH
7,https://t.co/2MoLOTA01t
8,"RT @samike88: Ontario will expand vaccine booster eligibility to anyone 50 and up
The expected opening date is mid-December but could move…"
9,RT @kjzzphoenix: The COVID-19 vaccination rate among workers in Arizona nursing homes remains lower than that of most other states. @KDYJou…
10,Why is Africa’s Covid-19 vaccination rate so low? https://t.co/HOtmCfSugH
11,RT @qz: Why is Africa’s Covid-19 vaccination rate so low? https://t.co/e6rGPFcJvZ
12,Why is Africa’s Covid-19 vaccination rate so low? https://t.co/e6rGPFcJvZ
13,"RT @MarieWinz: As a researcher, I like looking at data myself. I looked at relationship between Covid-19 vaccination rate and Covid-19 7 da…"
14,Top 10 counties with the highest COVID-19 vaccination rate in Virginia https://t.co/bW3GPOrXFg
15,"@JosephyneT Not entirely true. Though mandatory vaccination appears to be mostly a local government initiative 
https://t.co/ZF6speajsW"
16,"@LozzaFox @lapogus1 @OliverDowden Perhaps not quite fascism, but authoritarian and not far off China. How long befo… https://t.co/RO05rYIvmi"
17,"RT @Marco_Piani: One can tweak the periods / dates considered, but I think the outcome is pretty robust: not so surprisingly, the higher th…"
18,"@GretaThunberg |• the greenhouse effect global warming°
Tectonique croûtes oceanique et
Continentales.statistics.… https://t.co/aieBA38rMh"
19,The COVID-19 vaccination rate among workers in Arizona nursing homes remains lower than that of most other states.… https://t.co/U62H8zrhij
20,"One can tweak the periods / dates considered, but I think the outcome is pretty robust: not so surprisingly, the hi… https://t.co/5taqozIZWm"
21,Health Share of Oregon is working with regional partners to continue to increase COVID-19 vaccination rates. It's w… https://t.co/wsbF16xNwC
22,"@DumbDumbMM @Zacnaloen https://t.co/eGZr8b8fFF

This seems to suggest most of Europe is broadly similar, but if the… https://t.co/PaVpdfiVQs"
23,"Ontario will expand vaccine booster eligibility to anyone 50 and up
The expected opening date is mid-December but c… https://t.co/RdfH6HBfYg"
24,Is COVID-19 Vaccination Rate Among Healthcare Personnel Reflective of their Respective Community? An Evaluation of… https://t.co/N1aVHCaz39
25,"RT @News24: The Covid-19 vaccination rate, which had slowed down, started rising again this week. With news of the new variant, Omicron, sp…"
26,Editorial | The DP Editorial Board discusses why the University should require booster shots for members of the Pen… https://t.co/Rbn5FBKEQN
27,GC vaccination rate inches closer to 50 percent https://t.co/R2cyGLNDgN https://t.co/G5cTErcjsC
28,"'Ontario will expand vaccine booster eligibility to anyone 50 and up
The expected opening date is mid-December but… https://t.co/bDX8Deo3LJ"
29,Minister lauds West Manggarai's COVID-19 vaccination rate https://t.co/y9JPN5mwkC
30,"COVID-19 vaccine doses in Europe as of November 25, 2021, by country (per 100 population) https://t.co/cD2dlNh1vC… https://t.co/hvQhiB4M8y"
31,@GR_Patriot21 76 % ΕΠΙ ΣΥΝΟΛΟΥ ΠΛΗΘΥΣΜΟΥ. Και το οτι πειθαρχουν φαινεται απο τα ΜΗΔΕΝΙΚΑ ΚΡΟΥΣΜΑΤΑ Κ ΛΙΓΟΥΣ ΘΑΝΑΤΟΥ… https://t.co/xauQZZELCi
32,RT @NBCNews: Singapore’s Covid-19 vaccination rate rises to 96% of the eligible population and authorities are now racing to administer boo…
33,"The Covid-19 vaccination rate, which had slowed down, started rising again this week. With news of the new variant,… https://t.co/VcG8y80Ztd"
34,"https://t.co/9pa0sT9eGz | Vaccination rates have been increasing, but more needed - health expert: The Covid-19 vac… https://t.co/YieRXqUfay"
35,"Despite the COVID-19 vaccination rate decreasing, mobile testing and vaccination sites are still happening and bein… https://t.co/RyNhvliiyN"
36,"RT @XHNews: While there is marked difference between U.S. red states and blue states in COVID-19 vaccination rate, the United States as a w…"
37,"@JohnPapasIdeas @rubywright1 @J_TheCynic @LovesCanada8 https://t.co/5wZWuyRB5r

Someone has mis-informed you on Chi… https://t.co/ZVijxPHxxl"
38,"#NBATicket #NBA75 The NBA has a COVID-19 vaccination rate of 97% among its 450-plus players, https://t.co/pgL1woJn8A"
39,RT @Reuters_Health: Singapore's COVID-19 vaccination rate has risen to 96% of the eligible population and authorities are now racing ahead…
40,"@thehateguest Sembra però che questi numeri siano proprio quelli delle statistiche (es. https://t.co/ckJet4E41U), e… https://t.co/twDe6ZsMzX"
41,Singapore's COVID-19 vaccination rate has risen to 96% of the eligible population and authorities are now racing ah… https://t.co/U3QKNHDxRc
42,Singapore’s Covid-19 vaccination rate has jumped to 96% and authorities are now racing to administer booster shots… https://t.co/k3GMsh0Cdj
43,"RT @ChinaDaily: While there is marked difference between #US red states and blue states in COVID-19 vaccination rate, the United States as…"
44,"RT @CedricDeBeer1: Clothing union reports 74% Covid-19 vaccination rate https://t.co/k2MqBpF1mt. Well done SACTWU. Other unions, civics rel…"
45,"While there is marked difference between #US red states and blue states in COVID-19 vaccination rate, the United St… https://t.co/gBAUZGL4LH"
46,NBCNews: Singapore’s Covid-19 vaccination rate rises to 96% of the eligible population and authorities are now raci… https://t.co/udJy7rHXsV
47,Singapore’s Covid-19 vaccination rate rises to 96% of the eligible population and authorities are now racing to adm… https://t.co/5Z0gBsatbD
48,RT @NBCNewsWorld: Singapore’s Covid-19 vaccination rate rises to 96% of the eligible population and authorities are now racing to administe…
49,"#RT @XHNews: While there is marked difference between U.S. red states and blue states in COVID-19 vaccination rate,… https://t.co/QKkw60YEzM"
50,Singapore's COVID-19 vaccination rate has risen to 96% of the eligible population and authorities are now racing ah… https://t.co/PBzPDBU5a2
51,Singapore’s Covid-19 vaccination rate rises to 96% of the eligible population and authorities are now racing to adm… https://t.co/fkBlIX8HdK
52,Sactwu reports 74% Covid-19 vaccination rate amongst users of clothing union’s clinics -  https://t.co/5qBgH9TG88
53,Sactwu reports 74% Covid-19 vaccination rate amongst users of clothing union’s clinics https://t.co/FzQqyhjjVj
54,RT @DDIndialive: Singapore: COVID-19 vaccination rate has risen to 96% of the eligible population and authorities are now racing ahead to a…
55,Singapore: COVID-19 vaccination rate has risen to 96% of the eligible population and authorities are now racing ahe… https://t.co/A6aT1yXMUE
56,Singapore: COVID-19 vaccination rate has risen to 96% of the eligible population and authorities are now racing ahe… https://t.co/FP3UVRJsGE
57,RT @News24: The Southern African Clothing and Textile Workers' Union has reported that 74% of users of the union's clinics are vaccinated a…
58,The Southern African Clothing and Textile Workers' Union has reported that 74% of users of the union's clinics are… https://t.co/VVTCrganDy
59,"RT @Fin24: Nearly three-quarters of users of the Sactwu clinics have been vaccinated, the union says. https://t.co/ojY0YZgVeA"
60,"Nearly three-quarters of users of the Sactwu clinics have been vaccinated, the union says. https://t.co/ojY0YZgVeA"
61,Singapore’s COVID-19 vaccination rate has risen to 96% of the eligible population and authorities are now racing ah… https://t.co/iw5qYbVHaz
62,"RT @kktotlani: latest: Singapore close to vaccinating all eligible people against Covid-19

Singapore's Covid-19 vaccination rate has risen…"
63,News24 - https://t.co/Kmfjlbdpwk | Clothing union reports 74% Covid-19 vaccination rate https://t.co/yd6DEi0OS1 https://t.co/4iYtQy7wMl
64,https://t.co/7mjjpYSjwS
65,"Clothing union reports 74% Covid-19 vaccination rate https://t.co/k2MqBpF1mt. Well done SACTWU. Other unions, civic… https://t.co/K1ZRdKqCqU"
66,Singapore's COVID-19 vaccination rate has risen to 96% of the eligible population and authorities are now racing ah… https://t.co/0Epb7ljNep
67,https://t.co/9pa0sT9eGz | Clothing union reports 74% Covid-19 vaccination rate: Nearly three quarters of users of t… https://t.co/bRNmb3lcwG
68,https://t.co/tgR9Z5oB3U | Clothing union reports 74% Covid-19 vaccination rate https://t.co/qg5ZiXJbF5
69,"While there is marked difference between U.S. red states and blue states in COVID-19 vaccination rate, the United S… https://t.co/qPQf7GR1sG"
70,RT @moneycontrolcom: Singapore’s COVID-19 #vaccination rate has risen to 96% of the eligible population; authorities race ahead to administ…
71,Singapore’s COVID-19 #vaccination rate has risen to 96% of the eligible population; authorities race ahead to admin… https://t.co/Gfh43hUCCv
72,"latest: Singapore close to vaccinating all eligible people against Covid-19

Singapore's Covid-19 vaccination rate… https://t.co/fy3MsNLdZP"
73,RT @MLAIrfanSabir: A massive shoutout to 254 organizations that worked together to boost vaccination rates in upper northeast Calgary to th…
74,Counties with the highest COVID-19 vaccination rate in Georgia https://t.co/Ho3Pi45rXg
75,UPDATE: https://t.co/440s2DR51U has compiled the latest information on COVID-19 vaccination rates in our state from… https://t.co/KaFlNNVH4K
76,"RT @GlobalCalgary: “For us, it’s around barriers and equity. It’s around vulnerable populations and marginalized groups and being able to e…"
77,@GregAbbott_TX Amarillo and surrounding areas are surging. And your are bragging-not sure about what??  What about… https://t.co/8rVZUO0d1J
78,RT @MScottGR: Grant aims to boost COVID-19 vaccination rate in Black communities https://t.co/HoXNXZ9HOS
79,Grant aims to boost COVID-19 vaccination rate in Black communities - https://t.co/t06GMUa5Wm https://t.co/9bYEiCKB7t
80,"Canberra records six new cases of COVID-19, vaccination rate hits 97.7 per cent – The Canberra Times https://t.co/wF6onZIWcr"
81,"As a researcher, I like looking at data myself. I looked at relationship between Covid-19 vaccination rate and Covi… https://t.co/yuiPLuarmX"
82,RT @BostonCollege: Outreach by @BC_CSON faculty and students has helped @cristoreyboston significantly increase the COVID-19 vaccination ra…
83,@MontyRitai @ontowit @ApostleTamaki That's not necessarily true.  I read about Africa and Covid and there is an iss… https://t.co/zWooSXdqLA
84,COVID-19: Upper northeast Calgary has highest vaccination rate in Alberta - Calgary | https://t.co/YTDdrfT317 https://t.co/gDCCKH4c09
85,A massive shoutout to 254 organizations that worked together to boost vaccination rates in upper northeast Calgary… https://t.co/WpLoIOrKVa
86,Grant aims to boost COVID-19 vaccination rate in Black communities https://t.co/HoXNXZ9HOS
87,Grant aims to boost COVID-19 vaccination rate in Black communities https://t.co/Np3XnSV8Ii
88,Grant aims to boost COVID-19 vaccination rate in Black communities https://t.co/9meV52NPyV
89,Grant aims to boost COVID-19 vaccination rate in Black communities https://t.co/t9LqaiJ5XK
90,RT @WSAV: Counties with the highest COVID-19 vaccination rate in Georgia https://t.co/LfQ0xUy0tx via @WSAV
91,Counties with the highest COVID-19 vaccination rate in Georgia https://t.co/LfQ0xUy0tx via @WSAV
92,"As has been true throughout America’s COVID-19 history, every state — and every county therein — has its own COVID-… https://t.co/bb7h0kpvR5"
93,Counties with the highest COVID-19 vaccination rate in Georgia https://t.co/DpsSFwydwL
94,@StephNebehay @DrRHatchett @CEPIvaccines South Africa and Botswana have some of the highest vaccination rates in co… https://t.co/wjWrwAussI
95,"COVID-19: Vaccination rate at 84.4% within the Haliburton, Kawartha, Pine Ridge District Health Unit's @HKPRDHU jur… https://t.co/TyB8c9I1wp"
96,RT @RachelNotley: A massive shoutout to 254 organizations that worked together to boost vaccination rates in upper northeast Calgary to the…
97,"RT @jkenneyisaliar: Correct me if I’m wrong, but isn’t the same community that @jkenney tried to blame for causing high infection rates in…"
98,I grew up in NE Calgary. It is wonderful to read this news. This kind of community-based coordination makes a huge… https://t.co/kgbJo0oaYo
99,A massive shoutout to 254 organizations that worked together to boost vaccination rates in upper northeast Calgary… https://t.co/H54G5PbP28
100,@AFP @OfficialDGISPR @POTUS @JustinTrudeau @VP @USAmbUN @BorisJohnson @jeremycorbyn @SadiqKhan @KingSalman… https://t.co/d1DCyaRALm
101,The Centre for Newcomers said it was a matter of making it easier for people to get vaccinated by eliminating barri… https://t.co/ps456NanHE
102,RT @KimHaokipINC: Manipur continues to remain low on vaccination rate at just 65.7 % and 43.79 % for first and second dose respectively. An…
103,RT @BGLTHMND: No the cabal has their excuse to dramatically increase the cOVID-19 vaccination rate in Africa.  Then we’ll see the infection…
104,Pa. COVID-19 vaccination rate drops after data correction https://t.co/EAmkPomaEK
105,#OmicronVarariant strains confirmed in #Australia. Australia shuts borders to nine #SouthernAfrican countries Will… https://t.co/0DwZylHuWQ
106,RT @moughthere: Counties with the highest COVID-19 vaccination rate in New York https://t.co/PcrfM7AkD7
107,"@KellyO He should also take time to give an update on lower unemployment and jobless rates, GDP, stock market, COVI… https://t.co/JaYtDyo4ZD"
108,"What is Nigeria’s current COVID-19 vaccination rate?

How many percent of the total population have been fully vacc… https://t.co/DefH0doZph"
109,COVID-19: Upper northeast Calgary has highest vaccination rate in Alberta https://t.co/h7CdGmDiEK
110,COVID-19: Upper northeast Calgary has highest vaccination rate in Alberta https://t.co/YrhgbvK2kw
111,"Correct me if I’m wrong, but isn’t the same community that @jkenney tried to blame for causing high infection rates… https://t.co/6JjvGBSI7R"
112,"“For us, it’s around barriers and equity. It’s around vulnerable populations and marginalized groups and being able… https://t.co/Z9DdzH1BTO"
113,Here is a list of the counties with highest COVID-19 vaccination rates in Iowa using data from the U.S. Department… https://t.co/ym4RBqyWVb
114,@EmigrantPanama Tohle nejspíš hraje určitou roli také https://t.co/7lNpwvsEZi
115,"The CDC adjusted the percentage to 68.9%, after a day earlier putting the percentage at 73.7% of Pennsylvanians 18… https://t.co/PANhKazN6n"
116,Counties with the highest COVID-19 vaccination rate in New Hampshire - Kilgore News Herald https://t.co/j3iX3fwOqg #NewHampshire #NH
117,RT @69News: The CDC says PA's COVID-19 vaccination rate among adults is actually lower than what's been reported. The agency says a data co…
118,The CDC says PA's COVID-19 vaccination rate among adults is actually lower than what's been reported. The agency sa… https://t.co/rlmME7e3R0
119,"@2reyallen @stopthatgirl7 Only Malawi is around 6% (https://t.co/N95g98Db3j). What's your source for ""no testing""?"
120,"RT @6abc: The CDC adjusted the percentage to 68.9%, after a day earlier putting the percentage at 73.7% of Pennsylvanians 18 and older.  ht…"
121,"@luchi7 FYI: Zambia vax rate is between 3.5% and 5.35% as of November 2021

Source: https://t.co/m4IdJ1K00A"
122,"PA vaccination rate drops five percentage points after CDC data correction

https://t.co/E9DpdqguW7"
123,"The CDC adjusted the percentage to 68.9%, after a day earlier putting the percentage at 73.7% of Pennsylvanians 18… https://t.co/jACwqDF9CV"
124,@perfectvreemden @Sami66633023 @mariannezw Weet niet waarom. #MSM zet graag P als braaf jongetje neer?… https://t.co/xpQN4TqOkd
125,Counties with the highest COVID-19 vaccination rate in New York https://t.co/PcrfM7AkD7
126,https://t.co/c37Vpfem3I
127,"RT @Aulieude66: And it's playing out now in real time...
https://t.co/qmf6yDuZ5f"
128,"The CDC adjusted the percentage to 68.9%, after a day earlier putting the percentage at 73.7% of Pennsylvanians 18… https://t.co/4tL3qBIQCx"
129,"The CDC adjusted the percentage to 68.9%, after a day earlier putting the percentage at 73.7% of Pennsylvanians 18… https://t.co/L0zgQI6xR5"
130,"RT @sheridansucks: #GenocideByVaccines?
Many parts of Australia have become totalitarian police states with martial law, as the government…"
131,@OsirisRage @RealCandaceO •Protection questions. It’s not clear how long the COVID-19 vaccines will protect you fro… https://t.co/sjz134Hg4a
132,@pgmthe1st @mtgreenee There are multiple places that give stats on vaccine rates by country within the continent of… https://t.co/1NcJS3I7jq
133,Counties with the highest COVID-19 vaccination rate in Colorado https://t.co/Twm61r4o0w
134,"RT @sbleas66: Our Chicago: Boosters, variants and COVID-19 in kids - ABC7 Chicago maybe boosters but data shows highly effective even again…"
135,"@cancerogenopefo @04Carmen20 mentre invece Nigeria e Ghana, 2 a caso, invece si ?
propongo di leggere questo quadro… https://t.co/0tAZp8vaw3"
136,Manipur continues to remain low on vaccination rate at just 65.7 % and 43.79 % for first and second dose respective… https://t.co/dRWrhPGJXs
137,@Digital_kaz https://t.co/qukxulz5hz
138,@HughesEscape1 @hughesjam3sw @lnn1910ann @GCarty80 @sdbaral Odd Sweden has give out 153 doses for every 100 people.… https://t.co/qnKtsTVdqF
139,No the cabal has their excuse to dramatically increase the cOVID-19 vaccination rate in Africa.  Then we’ll see the… https://t.co/8WKgD8y5R9
140,"#GenocideByVaccines?
Many parts of Australia have become totalitarian police states with martial law, as the govern… https://t.co/W0deQBj0wl"
141,"@krys10iam @ztsamudzi See Lesotho, Mozambique, etc.: https://t.co/VqPyeSDMww"
142,"RT @JonahCrawford9: @mncedlamini @DlaminiNamelani If like myself you have family members working abroad in hospitals ask them.
Another fact…"
143,Introducing #FactFriday! Did you know that Indigenous communities generally have lower #vaccination rates than the… https://t.co/BE0YN4wU88
144,RT @developingpak: #PepsiCoPakistan is successfully working towards protecting employees and communities with their holistic COVID-19 respo…
145,"@colvieux @GiovaQuez vaccinati in #Africa 
https://t.co/WXMM2Hsypm"
146,"@DBarillarisson @sonospento @GiovaQuez @colvieux risposta qui
https://t.co/WXMM2Hsypm"
147,More Arizona doctors are appealing to the public to get vaccinated and take other precautions to limit the spread o… https://t.co/GprF4n1781
148,Outreach by @BC_CSON faculty and students has helped @cristoreyboston significantly increase the COVID-19 vaccinati… https://t.co/Lkf7i1xvng
149,"RT @BruceRFeldman: Vaccine requirements work and protect us all. Of the roughly 3.5 million federal workers, 92% have received at least one…"
150,"Also, sure is too bad the rich countries didn't work harder to get vaccines to Africa. https://t.co/k2ivUAfJ1v"
151,"@Moeritzl @CRM_saves_lives Das kann sein.
Die hier sagen allerdings wir haben 166 Dosen pro 100, ihr 144. Das ist x… https://t.co/omtsJChOgK"
152,"@mncedlamini @DlaminiNamelani If like myself you have family members working abroad in hospitals ask them.
Another… https://t.co/MzGcINpm5V"
153,"@bencoates1 Interesting, because according to this, we have more doses administered per person than Hungary, Greece… https://t.co/HWOEEuEFQH"
154,"@blackintheempir Published by 

Mariam Saleh 

￼

, Nov 19, 2021

 As of November 18, 2021, Seychelles was the Afri… https://t.co/sevXz16L81"
155,"@Looby13693743 @NicolaSturgeon @WHO Is that right.....
https://t.co/PmEg7YhrWk"
156,"RT @stevendamron: Despite 85% Covid-19 vaccination rate, Portugal is requiring masks and vaccination certification indoors. This is similar…"
157,"Despite 85% Covid-19 vaccination rate, Portugal is requiring masks and vaccination certification indoors. This is s… https://t.co/1Sk3A5nnDe"
158,Mississippi health advocates work to improve Hispanic COVID-19 vaccination rate - WDAM https://t.co/E1wmpcZWch
159,"RT @ScannerFremont: I am thankful to live in a town where:  the covid-19 vaccination rate is quite high, where 60% of the pop. have a 4 yea…"
160,"RT @lehnent: COVID-19 Across Europe - Correlation Between Vaccinations and Deaths. #VaccinationsWork 
Ireland has the highest Covid-19 #vac…"
161,"@sonospento @GiovaQuez @colvieux Qui trovi qualche dato a riguardo:
https://t.co/zapIqHn4bJ"
162,"Covid-19 Vaccination Rate for Federal Workers Is 92%, White House Says - WSJ https://t.co/L8BCmAblHR"
163,"5:35 ""Notre taux de vaccination parmi les plus élevés en Europe""
❌ Nous sommes 9e sur 27 en Europe. Un milieu solid… https://t.co/uacseF9WJK"
164,More Arizona doctors are appealing to the public to get vaccinated and take other precautions to limit the spread o… https://t.co/ct2bwsJYCm
165,"@RWMaloneMD South Africa only has 40 doses per 100 population. Doesn't mean Geert is wrong, but maybe more analysis… https://t.co/Gxq4qWp6jQ"
166,"@kenni3033 @DrPuerner Für die ignorante Person erscheint Wahrheit wie ein Scherz. Man kann jedoch vermeiden, dass a… https://t.co/5WYGJ4avbG"
167,"Shot: https://t.co/Y31uZl7vZL

Chaser: 
https://t.co/eNbTFxnB0W

Flattening the curve is a good goal. Mitigation is… https://t.co/ZgfclLXf46"
